Field,Type,Null,Key,Default,Extra
therapy_part1_id,int,NO,PRI,NULL,auto_increment
hf_id,int,NO,MUL,NULL,
recommended_consults,text,YES,,NULL,
drug_intolerance_contraindications,text,YES,,NULL,
carvedilol,"enum('Yes','No')",YES,,No,
carvedilol_dose,varchar(100),YES,,NULL,
bisoprolol,"enum('Yes','No')",YES,,No,
bisoprolol_dose,varchar(100),YES,,NULL,
metoprolol_succinate,"enum('Yes','No')",YES,,No,
metoprolol_succinate_dose,varchar(100),YES,,NULL,
nebivolol,"enum('Yes','No')",YES,,No,
nebivolol_dose,varchar(100),YES,,NULL,
beta_blocker_other,"enum('Yes','No')",YES,,No,
beta_blocker_other_name,varchar(100),YES,,NULL,
beta_blocker_other_dose,varchar(100),YES,,NULL,
beta_not_used_bradycardia,"enum('Yes','No')",YES,,No,
beta_not_used_heart_blocks,"enum('Yes','No')",YES,,No,
beta_not_used_copd_asthma,"enum('Yes','No')",YES,,No,
beta_not_used_hypotension,"enum('Yes','No')",YES,,No,
beta_not_used_other,"enum('Yes','No')",YES,,No,
beta_not_used_other_reason,varchar(255),YES,,NULL,
enalapril,"enum('Yes','No')",YES,,No,
enalapril_dose,varchar(100),YES,,NULL,
ramipril,"enum('Yes','No')",YES,,No,
ramipril_dose,varchar(100),YES,,NULL,
lisinopril,"enum('Yes','No')",YES,,No,
lisinopril_dose,varchar(100),YES,,NULL,
perindopril,"enum('Yes','No')",YES,,No,
perindopril_dose,varchar(100),YES,,NULL,
ace_other,"enum('Yes','No')",YES,,No,
ace_other_name,varchar(100),YES,,NULL,
ace_other_dose,varchar(100),YES,,NULL,
ace_not_used_elevated_creatinine,"enum('Yes','No')",YES,,No,
ace_not_used_hyperkalemia,"enum('Yes','No')",YES,,No,
ace_not_used_cough,"enum('Yes','No')",YES,,No,
ace_not_used_hypotension,"enum('Yes','No')",YES,,No,
ace_not_used_other,"enum('Yes','No')",YES,,No,
ace_not_used_other_reason,varchar(255),YES,,NULL,
valsartan,"enum('Yes','No')",YES,,No,
valsartan_dose,varchar(100),YES,,NULL,
losartan,"enum('Yes','No')",YES,,No,
losartan_dose,varchar(100),YES,,NULL,
telmisartan,"enum('Yes','No')",YES,,No,
telmisartan_dose,varchar(100),YES,,NULL,
olmesartan,"enum('Yes','No')",YES,,No,
olmesartan_dose,varchar(100),YES,,NULL,
arb_other,"enum('Yes','No')",YES,,No,
arb_other_name,varchar(100),YES,,NULL,
arb_other_dose,varchar(100),YES,,NULL,
arb_not_used_elevated_creatinine,"enum('Yes','No')",YES,,No,
arb_not_used_hyperkalemia,"enum('Yes','No')",YES,,No,
arb_not_used_hypotension,"enum('Yes','No')",YES,,No,
arb_not_used_other,"enum('Yes','No')",YES,,No,
arb_not_used_other_reason,varchar(255),YES,,NULL,
spironolactone,"enum('Yes','No')",YES,,No,
spironolactone_dose,varchar(100),YES,,NULL,
eplerenone,"enum('Yes','No')",YES,,No,
eplerenone_dose,varchar(100),YES,,NULL,
aldosterone_not_used_hyperkalemia,"enum('Yes','No')",YES,,No,
aldosterone_not_used_hyponatremia,"enum('Yes','No')",YES,,No,
aldosterone_not_used_elevated_creatinine,"enum('Yes','No')",YES,,No,
aldosterone_not_used_other,"enum('Yes','No')",YES,,No,
aldosterone_not_used_other_reason,varchar(255),YES,,NULL,
created_at,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
updated_at,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP
hydralazine,"enum('Yes','No')",YES,,No,
hydralazine_name,varchar(100),YES,,,
hydralazine_dose,varchar(100),YES,,,
nitrate_1,"enum('Yes','No')",YES,,No,
nitrate_1_name,varchar(100),YES,,,
nitrate_1_dose,varchar(100),YES,,,
nitrate_2,"enum('Yes','No')",YES,,No,
nitrate_2_name,varchar(100),YES,,,
nitrate_2_dose,varchar(100),YES,,,
warfarin,"enum('Yes','No')",YES,,No,
warfarin_inr,varchar(20),YES,,,
warfarin_target_inr,varchar(20),YES,,,
vitamin_k_inhibitor,"enum('Yes','No')",YES,,No,
vitamin_k_inhibitor_name,varchar(100),YES,,,
vitamin_k_inhibitor_dose,varchar(100),YES,,,
noac,"enum('Yes','No')",YES,,No,
noac_name,varchar(100),YES,,,
noac_dose,varchar(100),YES,,,
acitrom,"enum('Yes','No')",YES,,No,
acitrom_dose,varchar(100),YES,,,
ufh,"enum('Yes','No')",YES,,No,
ufh_dose,varchar(100),YES,,,
lmwh,"enum('Yes','No')",YES,,No,
lmwh_dose,varchar(100),YES,,,
aspirin,"enum('Yes','No')",YES,,No,
aspirin_dose,varchar(100),YES,,,
clopidogrel,"enum('Yes','No')",YES,,No,
clopidogrel_dose,varchar(100),YES,,,
prasugrel,"enum('Yes','No')",YES,,No,
prasugrel_dose,varchar(100),YES,,,
ticagrelor,"enum('Yes','No')",YES,,No,
ticagrelor_dose,varchar(100),YES,,,
amiodarone,"enum('Yes','No')",YES,,No,
amiodarone_dose,varchar(100),YES,,,
antiarrhythmic_other,"enum('Yes','No')",YES,,No,
antiarrhythmic_other_name,varchar(100),YES,,,
antiarrhythmic_other_dose,varchar(100),YES,,,
furosemide,"enum('Yes','No')",YES,,No,
furosemide_dose,varchar(100),YES,,,
torsemide,"enum('Yes','No')",YES,,No,
torsemide_dose,varchar(100),YES,,,
metolazone,"enum('Yes','No')",YES,,No,
metolazone_dose,varchar(100),YES,,,
diuretic_other,"enum('Yes','No')",YES,,No,
diuretic_other_name,varchar(100),YES,,,
diuretic_other_dose,varchar(100),YES,,,
diuretic_not_used_hyponatremia,"enum('Yes','No')",YES,,No,
diuretic_not_used_hypokalemia,"enum('Yes','No')",YES,,No,
diuretic_not_used_worsening_renal_failure,"enum('Yes','No')",YES,,No,
diuretic_not_used_hypotension,"enum('Yes','No')",YES,,No,
diuretic_not_used_other,"enum('Yes','No')",YES,,No,
diuretic_not_used_other_reason,varchar(255),YES,,,
created_at,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
updated_at,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP
digoxin,"enum('Yes','No')",YES,,No,
digoxin_name,varchar(100),YES,,,
digoxin_dose,varchar(100),YES,,,
ivabradine,"enum('Yes','No')",YES,,No,
ivabradine_dose,varchar(100),YES,,,
atorvastatin,"enum('Yes','No')",YES,,No,
atorvastatin_dose,varchar(100),YES,,,
simvastatin,"enum('Yes','No')",YES,,No,
simvastatin_dose,varchar(100),YES,,,
rosuvastatin,"enum('Yes','No')",YES,,No,
rosuvastatin_dose,varchar(100),YES,,,
sulfonylureas,"enum('Yes','No')",YES,,No,
sulfonylureas_dose,varchar(100),YES,,,
metformin,"enum('Yes','No')",YES,,No,
metformin_dose,varchar(100),YES,,,
glitazone,"enum('Yes','No')",YES,,No,
glitazone_dose,varchar(100),YES,,,
gliptin,"enum('Yes','No')",YES,,No,
gliptin_dose,varchar(100),YES,,,
acarbose_derivative,"enum('Yes','No')",YES,,No,
acarbose_derivative_dose,varchar(100),YES,,,
human_insulin,"enum('Yes','No')",YES,,No,
human_insulin_dose,varchar(100),YES,,,
synthetic_insulin,"enum('Yes','No')",YES,,No,
synthetic_insulin_dose,varchar(100),YES,,,
antihypertensive,"enum('Yes','No')",YES,,No,
antihypertensive_name,varchar(100),YES,,,
antihypertensive_dose,varchar(100),YES,,,
thyroxine,"enum('Yes','No')",YES,,No,
thyroxine_dose,varchar(100),YES,,,
other_medication_1,"enum('Yes','No')",YES,,No,
other_medication_1_name,varchar(100),YES,,,
other_medication_1_dose,varchar(100),YES,,,
other_medication_2,"enum('Yes','No')",YES,,No,
other_medication_2_name,varchar(100),YES,,,
other_medication_2_dose,varchar(100),YES,,,
other_medication_3,"enum('Yes','No')",YES,,No,
other_medication_3_name,varchar(100),YES,,,
other_medication_3_dose,varchar(100),YES,,,
other_medication_4,"enum('Yes','No')",YES,,No,
other_medication_4_name,varchar(100),YES,,,
other_medication_4_dose,varchar(100),YES,,,
created_at,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
updated_at,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP
